Genotype_Micro,Genotype,known_geno,Treatment,Tank,number_Samples,Final_State,R_final_state,Final_fraction_Disease,Days_to_disease_signs,days_from_initial_to_final,General_Notes,Extra_notes,extra2_notes,extra3_notes,Experiment,sample,tube_number,box,ID_Micro,SampleLocation,Disease_Exposed,Disease_Outcome,Disease_Prevalence,Sample_Uniq_ID,Exp_1,Exp_2,Exp_3,Exp_4,Sampled,timepoint,sample_date,Date_initial,Date_final,Date_exp_started,Real_timepoint,R_TP,R_treat,Order_TP
OF758,OF758,Y,C,58,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,1,276-4_1/17/22,276,4,58 _ 1 _ OF758,T_276_Exp_1_Box_4,0,0,0,T_276_Exp_1,1,0,0,0,1,Early_Exposure,1/17/22,NA,NA,1/14/22,Early_Exposure,EE,C,3
S509,S509,Y,C,58,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,1,277-4_1/17/22,277,4,58 _ 1 _ S509,T_277_Exp_1_Box_4,0,0,1,T_277_Exp_1,1,0,0,0,1,Early_Exposure,1/17/22,NA,NA,1/14/22,Early_Exposure,EE,C,3
OF22,OF22,Y,C,59,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,1,278-4_1/17/22,278,4,59 _ 1 _ OF22,T_278_Exp_1_Box_4,0,0,0,T_278_Exp_1,1,0,0,0,1,Early_Exposure,1/17/22,NA,NA,1/14/22,Early_Exposure,EE,C,3
OF554,OF554,Y,C,59,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,1,279-4_1/17/22,279,4,59 _ 1 _ OF554,T_279_Exp_1_Box_4,0,0,1,T_279_Exp_1,1,0,0,0,1,Early_Exposure,1/17/22,NA,NA,1/14/22,Early_Exposure,EE,C,3
OF654,OF654,Y,C,59,2,Control,Healthy,0,NA,NA,Pulled 1/24 but mssing sample,NA,NA,NA,1,280-4_1/17/22,280,4,59 _ 1 _ OF654,T_280_Exp_1_Box_4,0,0,0.666666667,T_280_Exp_1,1,0,0,0,1,Early_Exposure,1/17/22,NA,NA,1/14/22,Early_Exposure,EE,C,3
OF701,OF701,Y,C,59,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,1,281-4_1/17/22,281,4,59 _ 1 _ OF701,T_281_Exp_1_Box_4,0,0,1,T_281_Exp_1,1,0,0,0,1,Early_Exposure,1/17/22,NA,NA,1/14/22,Early_Exposure,EE,C,3
OF733,OF733,Y,C,59,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,1,282-4_1/17/22,282,4,59 _ 1 _ OF733,T_282_Exp_1_Box_4,0,0,1,T_282_Exp_1,1,0,0,0,1,Early_Exposure,1/17/22,NA,NA,1/14/22,Early_Exposure,EE,C,3
OF759,OF759,Y,C,59,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,1,283-4_1/17/22,283,4,59 _ 1 _ OF759,T_283_Exp_1_Box_4,0,0,1,T_283_Exp_1,1,0,0,0,1,Early_Exposure,1/17/22,NA,NA,1/14/22,Early_Exposure,EE,C,3
OF202,OF202,Y,C,62,2,Control,Healthy,0,NA,NA,NA,NA,NA,NA,1,284-4_1/17/22,284,4,62 _ 1 _ OF202,T_284_Exp_1_Box_4,0,0,0,T_284_Exp_1,1,0,0,0,1,Early_Exposure,1/17/22,NA,NA,1/14/22,Early_Exposure,EE,C,3
OF21,OF21,Y,C,62,4,Control,Healthy,0,NA,NA,NA,NA,NA,NA,1,285-4_1/17/22,285,4,62 _ 1 _ OF21,T_285_Exp_1_Box_4,0,0,1,T_285_Exp_1,1,0,0,0,1,Early_Exposure,1/17/22,NA,NA,1/14/22,Early_Exposure,EE,C,3
OF58,OF58,Y,C,62,4,Control,Healthy,0,NA,NA,NA,NA,NA,NA,1,286-4_1/17/22,286,4,62 _ 1 _ OF58,T_286_Exp_1_Box_4,0,0,1,T_286_Exp_1,1,0,0,0,1,Early_Exposure,1/17/22,NA,NA,1/14/22,Early_Exposure,EE,C,3
OF680,OF680,Y,C,62,4,Control,Healthy,0,NA,NA,NA,NA,NA,NA,1,287-4_1/17/22,287,4,62 _ 1 _ OF680,T_287_Exp_1_Box_4,0,0,1,T_287_Exp_1,1,0,0,0,1,Early_Exposure,1/17/22,NA,NA,1/14/22,Early_Exposure,EE,C,3
OF685,OF685,Y,C,62,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,1,288-4_1/17/22,288,4,62 _ 1 _ OF685,T_288_Exp_1_Box_4,0,0,1,T_288_Exp_1,1,0,0,0,1,Early_Exposure,1/17/22,NA,NA,1/14/22,Early_Exposure,EE,C,3
OF125,OF125,Y,C,64,4,Control,Healthy,0,NA,NA,NA,NA,NA,NA,1,289-4_1/17/22,289,4,64 _ 1 _ OF125,T_289_Exp_1_Box_4,0,0,1,T_289_Exp_1,1,0,0,0,1,Early_Exposure,1/17/22,NA,NA,1/14/22,Early_Exposure,EE,C,3
OF263,OF263,Y,C,64,4,Control,Healthy,0,NA,NA,NA,NA,NA,NA,1,290-4_1/17/22,290,4,64 _ 1 _ OF263,T_290_Exp_1_Box_4,0,0,1,T_290_Exp_1,1,0,0,0,1,Early_Exposure,1/17/22,NA,NA,1/14/22,Early_Exposure,EE,C,3
OF655,OF655,Y,C,64,4,Control,Healthy,0,NA,NA,NA,NA,NA,NA,1,293-4_1/17/22,293,4,64 _ 1 _ OF655,T_293_Exp_1_Box_4,0,0,1,T_293_Exp_1,1,0,0,0,1,Early_Exposure,1/17/22,NA,NA,1/14/22,Early_Exposure,EE,C,3
OF126,OF126,Y,C,65,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,1,294-4_1/17/22,294,4,65 _ 1 _ OF126,T_294_Exp_1_Box_4,0,0,0,T_294_Exp_1,1,0,0,0,1,Early_Exposure,1/17/22,NA,NA,1/14/22,Early_Exposure,EE,C,3
OF423,OF423,Y,C,65,4,Control,Healthy,0,NA,NA,NA,NA,NA,NA,1,295-4_1/17/22,295,4,65 _ 1 _ OF423,T_295_Exp_1_Box_4,0,0,1,T_295_Exp_1,1,0,0,0,1,Early_Exposure,1/17/22,NA,NA,1/14/22,Early_Exposure,EE,C,3
OF592,OF592,Y,C,65,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,1,296-4_1/17/22,296,4,65 _ 1 _ OF592,T_296_Exp_1_Box_4,0,0,0.5,T_296_Exp_1,1,0,0,0,1,Early_Exposure,1/17/22,NA,NA,1/14/22,Early_Exposure,EE,C,3
OF608,OF608,Y,C,65,4,Control,Healthy,0,NA,NA,NA,NA,NA,NA,1,297-4_1/17/22,297,4,65 _ 1 _ OF608,T_297_Exp_1_Box_4,0,0,1,T_297_Exp_1,1,0,0,0,1,Early_Exposure,1/17/22,NA,NA,1/14/22,Early_Exposure,EE,C,3
OF656,OF656,Y,C,65,2,Control,Healthy,0,NA,NA,Pulled 1/24 but missing sample,NA,NA,NA,1,298-4_1/17/22,298,4,65 _ 1 _ OF656,T_298_Exp_1_Box_4,0,0,1,T_298_Exp_1,1,0,0,0,1,Early_Exposure,1/17/22,NA,NA,1/14/22,Early_Exposure,EE,C,3
OF1,OF1,Y,C,66,4,Control,Healthy,0,NA,NA,NA,Another new initial,NA,NA,1,299-4_1/17/22,299,4,66 _ 1 _ OF1,T_299_Exp_1_Box_4,0,0,1,T_299_Exp_1,1,0,0,0,1,Early_Exposure,1/17/22,NA,NA,1/14/22,Early_Exposure,EE,C,3
OF393,OF393,Y,C,66,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,1,300-4_1/17/22,300,4,66 _ 1 _ OF393,T_300_Exp_1_Box_4,0,0,0.333333333,T_300_Exp_1,1,0,0,0,1,Early_Exposure,1/17/22,NA,NA,1/14/22,Early_Exposure,EE,C,3
OF434,OF434,Y,C,66,4,Control,Healthy,0,NA,NA,NA,NA,NA,NA,1,301-4_1/17/22,301,4,66 _ 1 _ OF434,T_301_Exp_1_Box_4,0,0,1,T_301_Exp_1,1,0,0,0,1,Early_Exposure,1/17/22,NA,NA,1/14/22,Early_Exposure,EE,C,3
OF354,OF354,Y,C,66,4,Control,Healthy,0,NA,NA,NA,NA,NA,NA,1,302-4_1/17/22,302,4,66 _ 1 _ OF354,T_302_Exp_1_Box_4,0,0,0.5,T_302_Exp_1,1,0,0,0,1,Early_Exposure,1/17/22,NA,NA,1/14/22,Early_Exposure,EE,C,3
OF687,OF687,Y,C,66,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,1,303-4_1/17/22,303,4,66 _ 1 _ OF687,T_303_Exp_1_Box_4,0,0,1,T_303_Exp_1,1,0,0,0,1,Early_Exposure,1/17/22,NA,NA,1/14/22,Early_Exposure,EE,C,3
1-OF-4,1_OF_4,Y,C,67,4,Control,Healthy,0,NA,NA,NA,NA,NA,NA,1,304-4_1/17/22,304,4,67 _ 1 _ 1-OF-4,T_304_Exp_1_Box_4,0,0,0,T_304_Exp_1,1,0,0,0,1,Early_Exposure,1/17/22,NA,NA,1/14/22,Early_Exposure,EE,C,3
OF23,OF23,Y,C,67,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,1,305-4_1/17/22,305,4,67 _ 1 _ OF23,T_305_Exp_1_Box_4,0,0,1,T_305_Exp_1,1,0,0,0,1,Early_Exposure,1/17/22,NA,NA,1/14/22,Early_Exposure,EE,C,3
OF602,OF602,Y,C,67,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,1,306-4_1/17/22,306,4,67 _ 1 _ OF602,T_306_Exp_1_Box_4,0,0,1,T_306_Exp_1,1,0,0,0,1,Early_Exposure,1/17/22,NA,NA,1/14/22,Early_Exposure,EE,C,3
OF662,OF662,Y,C,67,4,Control,Healthy,0,NA,NA,NA,NA,NA,NA,1,307-4_1/17/22,307,4,67 _ 1 _ OF662,T_307_Exp_1_Box_4,0,0,1,T_307_Exp_1,1,0,0,0,1,Early_Exposure,1/17/22,NA,NA,1/14/22,Early_Exposure,EE,C,3
S31,S31,Y,C,67,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,1,308-4_1/17/22,308,4,67 _ 1 _ S31,T_308_Exp_1_Box_4,0,0,0,T_308_Exp_1,1,0,0,0,1,Early_Exposure,1/17/22,NA,NA,1/14/22,Early_Exposure,EE,C,3
15-358,15_358,Y,C,68,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,1,309-4_1/17/22,309,4,68 _ 1 _ 15-358,T_309_Exp_1_Box_4,0,0,1,T_309_Exp_1,1,0,0,0,1,Early_Exposure,1/17/22,NA,NA,1/14/22,Early_Exposure,EE,C,3
OF75,OF75,Y,C,68,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,1,310-4_1/17/22,310,4,68 _ 1 _ OF75,T_310_Exp_1_Box_4,0,0,1,T_310_Exp_1,1,0,0,0,1,Early_Exposure,1/17/22,NA,NA,1/14/22,Early_Exposure,EE,C,3
OF755,OF755,Y,C,68,4,Control,Healthy,0,NA,NA,NA,NA,NA,NA,1,311-4_1/17/22,311,4,68 _ 1 _ OF755,T_311_Exp_1_Box_4,0,0,1,T_311_Exp_1,1,0,0,0,1,Early_Exposure,1/17/22,NA,NA,1/14/22,Early_Exposure,EE,C,3
OF793,OF793,Y,C,68,4,Control,Healthy,0,NA,NA,NA,NA,NA,NA,1,313-4_1/17/22,313,4,68 _ 1 _ OF793,T_313_Exp_1_Box_4,0,0,1,T_313_Exp_1,1,0,0,0,1,Early_Exposure,1/17/22,NA,NA,1/14/22,Early_Exposure,EE,C,3
S483,S483,Y,C,69,4,Control,Healthy,0,NA,NA,NA,NA,NA,NA,1,315-4_1/17/22,315,4,69 _ 1 _ S483,T_315_Exp_1_Box_4,0,0,1,T_315_Exp_1,1,0,0,0,1,Early_Exposure,1/17/22,NA,NA,1/14/22,Early_Exposure,EE,C,3
S227,S227,Y,C,69,4,Control,Healthy,0,NA,NA,NA,NA,NA,NA,1,318-4_1/17/22,318,4,69 _ 1 _ S227,T_318_Exp_1_Box_4,0,0,1,T_318_Exp_1,1,0,0,0,1,Early_Exposure,1/17/22,NA,NA,1/14/22,Early_Exposure,EE,C,3
OF626,OF626,Y,C,64,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,1,292-4_1/17/2022,292,4,64 _ 1 _ OF626,T_292_Exp_1_Box_4,0,0,1,T_292_Exp_1,1,0,0,0,1,Final,1/17/22,NA,NA,1/14/22,Early_Exposure,EE,C,3
OF8,OF8,Y,C,68,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,1,312-4_1/17/2022,312,4,68 _ 1 _ OF8,T_312_Exp_1_Box_4,0,0,1,T_312_Exp_1,1,0,0,0,1,Final,1/17/22,NA,NA,1/14/22,Early_Exposure,EE,C,3
OF11,OF11,Y,C,69,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,1,314-4_1/17/2022,314,4,69 _ 1 _ OF11,T_314_Exp_1_Box_4,0,0,1,T_314_Exp_1,1,0,0,0,1,Final,1/17/22,NA,NA,1/14/22,Early_Exposure,EE,C,3
S373,S373,Y,C,53,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,1,248-3_1/17/2022,248,3,53 _ 1 _ S373,T_248_Exp_1_Box_3,0,0,1,T_248_Exp_1,1,0,0,0,1,Initial_Disease,1/17/22,NA,NA,1/14/22,Early_Exposure,EE,C,3
OF628,OF628,Y,C,53,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,1,251-3_1/17/2022,251,3,53 _ 1 _ OF628,T_251_Exp_1_Box_3,0,0,1,T_251_Exp_1,1,0,0,0,1,Initial_Disease,1/17/22,NA,NA,1/14/22,Early_Exposure,EE,C,3
OF677,OF677,Y,C,53,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,1,252-3_1/17/2022,252,3,53 _ 1 _ OF677,T_252_Exp_1_Box_3,0,0,1,T_252_Exp_1,1,0,0,0,1,Initial_Disease,1/17/22,NA,NA,1/14/22,Early_Exposure,EE,C,3
15-155,15_155,Y,C,54,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,1,253-3_1/17/2022,253,3,54 _ 1 _ 15-155,T_253_Exp_1_Box_3,0,0,1,T_253_Exp_1,1,0,0,0,1,Initial_Disease,1/17/22,NA,NA,1/14/22,Early_Exposure,EE,C,3
OF61,OF61,Y,C,55,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,1,261-3_1/17/2022,261,3,55 _ 1 _ OF61,T_261_Exp_1_Box_3,0,0,1,T_261_Exp_1,1,0,0,0,1,Initial_Disease,1/17/22,NA,NA,1/14/22,Early_Exposure,EE,C,3
OF696,OF696,Y,C,56,4,Control,Healthy,0,NA,NA,NA,NA,NA,NA,1,266-4_1/17/2022,266,4,56 _ 1 _ OF696,T_266_Exp_1_Box_4,0,0,1,T_266_Exp_1,1,0,0,0,1,Initial_Disease,1/17/22,NA,NA,1/14/22,Early_Exposure,EE,C,3
OF132,OF132,Y,C,57,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,1,268-4_1/17/2022,268,4,57 _ 1 _ OF132,T_268_Exp_1_Box_4,0,0,0.666666667,T_268_Exp_1,1,0,0,0,1,Initial_Disease,1/17/22,NA,NA,1/14/22,Early_Exposure,EE,C,3
OF453,OF453,Y,C,64,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,1,291-4_1/17/2022,291,4,64 _ 1 _ OF453,T_291_Exp_1_Box_4,0,0,1,T_291_Exp_1,1,0,0,0,1,Initial_Disease,1/17/22,NA,NA,1/14/22,Early_Exposure,EE,C,3
OF559,OF559,Y,C,69,4,Control,Healthy,0,NA,NA,NA,NA,NA,NA,1,316-4_1/17/2022,316,4,69 _ 1 _ OF559,T_316_Exp_1_Box_4,0,0,1,T_316_Exp_1,1,0,0,0,1,Initial_Disease,1/17/22,NA,NA,1/14/22,Early_Exposure,EE,C,3
OF693,OF693,Y,C,69,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,1,317-4_1/17/2022,317,4,69 _ 1 _ OF693,T_317_Exp_1_Box_4,0,0,1,T_317_Exp_1,1,0,0,0,1,Initial_Disease,1/17/22,NA,NA,1/14/22,Early_Exposure,EE,C,3
M20,M20,N,C,59,4,Control,Healthy,0,NA,NA,NA,second final,NA,NA,4,194-3_4/2/22,194,3,59 _ 4 _ M20,T_194_Exp_4_Box_3,0,0,0.666666667,T_194_Exp_4,0,0,0,1,1,Early_Exposure,4/2/22,4/1/22,4/6/22,3/31/22,Early_Exposure,EE,C,3
M12,M12,N,C,58,4,Control,Healthy,0,NA,NA,NA,second initial pair,NA,NA,4,200-3_4/2/22,200,3,58 _ 4 _ M12,T_200_Exp_4_Box_3,0,0,1,T_200_Exp_4,0,0,0,1,1,Early_Exposure,4/2/22,4/1/22,4/4/22,3/31/22,Early_Exposure,EE,C,3
M17,M17,N,C,57,4,Control,Healthy,0,NA,NA,NA,NA,NA,NA,4,202-3_4/2/22,202,3,57 _ 4 _ M17,T_202_Exp_4_Box_3,0,0,0.5,T_202_Exp_4,0,0,0,1,1,Early_Exposure,4/2/22,4/1/22,4/18/22,3/31/22,Early_Exposure,EE,C,3
GB4,GB4,N,C,57,4,Control,Healthy,0,NA,NA,NA,NA,NA,NA,4,204-3_4/2/22,204,3,57 _ 4 _ GB4,T_204_Exp_4_Box_3,0,0,0.666666667,T_204_Exp_4,0,0,0,1,1,Early_Exposure,4/2/22,4/1/22,4/9/22,3/31/22,Early_Exposure,EE,C,3
M13,M13,N,C,56,4,Control,Healthy,0,NA,NA,NA,second final pair,NA,NA,4,206-3_4/2/22,206,3,56 _ 4 _ M13,T_206_Exp_4_Box_3,0,0,0.666666667,T_206_Exp_4,0,0,0,1,1,Early_Exposure,4/2/22,4/1/22,4/4/22,3/31/22,Early_Exposure,EE,C,3
M6,M6,N,C,53,4,Control,Healthy,0,1,4,NA,initial disease,init disease,final,4,222-3_4/2/22,222,3,53 _ 4 _ M6,T_222_Exp_4_Box_3,0,0,1,T_222_Exp_4,0,0,0,1,1,Early_Exposure,4/2/22,4/1/22,4/5/22,3/31/22,Early_Exposure,EE,C,3
M23,M23,N,C,59,4,Control,Healthy,0,NA,NA,NA,NA,NA,NA,4,193-3_4/2/22,193,3,59 _ 4 _ M23,T_193_Exp_4_Box_3,0,0,1,T_193_Exp_4,0,0,0,1,1,Early_Exposure,4/2/22,4/3/22,4/9/22,3/31/22,Early_Exposure,EE,C,3
GB26,GB26,N,C,55,4,Control,Healthy,0,NA,NA,NA,second initial pair,NA,NA,4,209-3_4/2/22,209,3,55 _ 4 _ GB26,T_209_Exp_4_Box_3,0,0,0.333333333,T_209_Exp_4,0,0,0,1,1,Early_Exposure,4/2/22,4/3/22,4/6/22,3/31/22,Early_Exposure,EE,C,3
15-431,15_431,Y,C,51,4,Control,Healthy,0,NA,NA,NA,NA,NA,NA,4,228-3_4/2/22,228,3,51 _ 4 _ 15-431,T_228_Exp_4_Box_3,0,0,1,T_228_Exp_4,0,0,0,1,1,Early_Exposure,4/2/22,4/3/22,4/4/22,3/31/22,Early_Exposure,EE,C,3
M16,M16,N,C,60,4,Control,Healthy,0,NA,NA,NA,NA,NA,NA,4,191-3_4/2/22,191,3,60 _ 4 _ M16,T_191_Exp_4_Box_3,0,0,1,T_191_Exp_4,0,0,0,1,1,Early_Exposure,4/2/22,4/4/22,4/5/22,3/31/22,Early_Exposure,EE,C,3
